Username,Length,Has_Numbers,Has_Underscore,Is_Alphanumeric,Has_Bot_Suffix,Length_Without_At
@clashofclans,13,False,False,True,False,12
@amiableavalanche,17,False,False,True,False,16
@armi_italia4,13,True,True,False,False,12
@askq0,6,True,False,True,False,5
@atlantistheroyal,17,False,False,True,False,16
@ayyvideos,10,False,False,True,False,9
@benimle,8,False,False,True,False,7
@broaches,9,False,False,True,False,8
@broconer,9,False,False,True,False,8
@cafefutures,12,False,False,True,False,11
@coins22,8,True,False,True,False,7
@corded_ware,12,False,True,False,False,11
@craftsidea,11,False,False,True,False,10
@delitociberneticos,19,False,False,True,False,18
@doyley,7,False,False,True,False,6
@farahjon,9,False,False,True,False,8
@ferrari_f40,12,True,True,False,False,11
@ffnaffy,8,False,False,True,False,7
@fragment_sucks_try_us,22,False,True,False,False,21
@getgems_sucks_try_us,21,False,True,False,False,20
@gramcryptohelp,15,False,False,True,False,14
@guidon,7,False,False,True,False,6
@i44444444444444i,17,True,False,True,False,16
@jetspack,9,False,False,True,False,8
@juyaf,6,False,False,True,False,5
@lelav,6,False,False,True,False,5
@naloges,8,False,False,True,False,7
@pexuv,6,False,False,True,False,5
@querit,7,False,False,True,False,6
@saettaescrow,13,False,False,True,False,12
@shoplaptop,11,False,False,True,False,10
@sigma_mikson,13,False,True,False,False,12
@sigmadoge,10,False,False,True,False,9
@stkittsnevis,13,False,False,True,False,12
@szteamdev,10,False,False,True,False,9
@tetherusdt_erc20,17,True,True,False,False,16
@the9w,6,True,False,True,False,5
@tiktok2023,11,True,False,True,False,10
@tlgrm_wallet,13,False,True,False,False,12
@ton_casino777,14,True,True,False,False,13
@ton_wtf,8,False,True,False,False,7
@touchbest,10,False,False,True,False,9
@vacuumed,9,False,False,True,False,8
@web30dapps,11,True,False,True,False,10
@withdubai,10,False,False,True,False,9
@x1900,6,True,False,True,False,5
@yand1,6,True,False,True,False,5
@yuyanyi,8,False,False,True,False,7
@adderall_oxycodone_alp,23,False,True,False,False,22
@adderall_oxycodonese,21,False,True,False,False,20
@adderall_perc_xan,18,False,True,False,False,17
@africasino,11,False,False,True,False,10
@agilecore,10,False,False,True,False,9
@ahmatcilla,11,False,False,True,False,10
@air_wallet,11,False,True,False,False,10
@airtos,7,False,False,True,False,6
@ak_47_russia,13,True,True,False,False,12
@aloww_s,8,False,True,False,False,7
@alrosacompany,14,False,False,True,False,13
@araoa,6,False,False,True,False,5
@bellerage,10,False,False,True,False,9
@bigpornohd,11,False,False,True,False,10
@blockchain_tlg,15,False,True,False,False,14
@blockchainestates,18,False,False,True,False,17
@bmw_deutschland,16,False,True,False,False,15
@bufferedetfs,13,False,False,True,False,12
@buyhotdog,10,False,False,True,False,9
@caribbeanvacations,19,False,False,True,False,18
@carolinarealestate,19,False,False,True,False,18
@carrefourbanca,15,False,False,True,False,14
@casualbotpogo,14,False,False,True,False,13
@ceo_bitbank,12,False,True,False,False,11
@ceo_kukoin,11,False,True,False,False,10
@ceo_ltc,8,False,True,False,False,7
@cheapman,9,False,False,True,False,8
@chimpansee,11,False,False,True,False,10
@commoditychannelindex,22,False,False,True,False,21
@corumhunt,10,False,False,True,False,9
@cr3p2currency,14,True,False,True,False,13
@cranebank,10,False,False,True,False,9
@cranebankheathrow,18,False,False,True,False,17
@cryptocerber,13,False,False,True,False,12
@dickhit,8,False,False,True,False,7
